id_row,time_stamp,department_,category_,machine_name,part_name,plan_,id_operator,output_,cycle_time,count_,run_,idle_,alarm_,offline_,alarm_code
127,"2025-08-16 16:36:18.00",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
128,"2025-08-16 16:36:18.32",Lathe,Machine,"Rotor TK1",089-138,0,id,1,102.63,16,0,0,0,0,0
129,"2025-08-16 16:36:52.12",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
130,"2025-08-16 16:36:53.01",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
131,"2025-08-16 16:36:59.11",Lathe,Machine,"Rotor TK4",2021404,0,id,1,102.94,20,0,0,0,0,0
132,"2025-08-16 16:37:34.65",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
133,"2025-08-16 16:37:55.95",Lathe,Machine,"Rotor TK1",089-138,0,id,1,97.63,17,0,0,0,0,0
134,"2025-08-16 16:38:01.02",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
135,"2025-08-16 16:40:19.11",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
136,"2025-08-16 16:40:19.11",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
137,"2025-08-16 16:40:48.56",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
138,"2025-08-16 16:41:06.97",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
139,"2025-08-16 16:41:07.33",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
140,"2025-08-16 16:41:08.01",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
141,"2025-08-16 16:41:13.70",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
142,"2025-08-16 16:41:14.62",Lathe,Machine,"Rotor TK1",089-138,0,id,1,198.67,18,0,0,0,0,0
143,"2025-08-16 16:41:48.32",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
144,"2025-08-16 16:41:49.30",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
145,"2025-08-16 16:41:55.10",Lathe,Machine,"Rotor TK4",2021404,0,id,1,295.99,21,0,0,0,0,0
146,"2025-08-16 16:42:31.06",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
147,"2025-08-16 16:42:49.74",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
148,"2025-08-16 16:42:50.96",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
149,"2025-08-16 16:42:57.07",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
150,"2025-08-16 16:42:57.39",Lathe,Machine,"Rotor TK1",089-138,0,id,1,102.77,19,0,0,0,0,0
151,"2025-08-16 16:43:30.99",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
152,"2025-08-16 16:43:31.90",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
153,"2025-08-16 16:43:37.96",Lathe,Machine,"Rotor TK4",2021404,0,id,1,102.86,22,0,0,0,0,0
154,"2025-08-16 16:44:13.67",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
155,"2025-08-16 16:44:32.42",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
156,"2025-08-16 16:44:34.44",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
157,"2025-08-16 16:44:39.62",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
158,"2025-08-16 16:44:39.95",Lathe,Machine,"Rotor TK1",089-138,0,id,1,102.56,20,0,0,0,0,0
159,"2025-08-16 16:45:13.54",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
160,"2025-08-16 16:45:14.45",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
161,"2025-08-16 16:45:20.55",Lathe,Machine,"Rotor TK4",2021404,0,id,1,102.59,23,0,0,0,0,0
162,"2025-08-16 16:45:57.37",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
163,"2025-08-16 16:46:16.08",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
164,"2025-08-16 16:46:17.88",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
165,"2025-08-16 16:46:22.35",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
166,"2025-08-16 16:46:23.57",Lathe,Machine,"Rotor TK1",089-138,0,id,1,103.62,21,0,0,0,0,0
167,"2025-08-16 16:46:35.42",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
168,"2025-08-16 16:47:40.85",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
169,"2025-08-16 16:47:54.89",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
170,"2025-08-16 16:49:54.04",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
171,"2025-08-16 16:49:55.23",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
172,"2025-08-16 16:50:00.86",Lathe,Machine,"Rotor TK4",2021404,0,id,1,280.31,24,0,0,0,0,0
173,"2025-08-16 16:50:36.93",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
174,"2025-08-16 16:50:37.86",Lathe,Machine,"Rotor TK1",089-138,0,id,0,0.00,0,0,0,0,0,0
175,"2025-08-16 16:50:44.43",Lathe,Machine,"Rotor TK1",089-138,0,id,1,260.86,22,0,0,0,0,0
176,"2025-08-16 16:51:03.04",Lathe,Machine,"Rotor TK4",2021404,0,id,0,0.00,0,0,0,0,0,0
